firm,year,inv,val,cap
US,1935,209.9,1362.4,53.8
US,1936,355.3,1807.1,50.5
US,1937,469.9,2676.3,118.1
US,1938,262.3,1801.9,260.2
US,1939,230.4,1957.3,312.7
US,1940,361.6,2202.9,254.2
US,1941,472.8,2380.5,261.4
US,1942,445.6,2168.6,298.7
US,1943,361.6,1985.1,301.8
US,1944,288.2,1813.9,279.1
US,1945,258.7,1850.2,213.8
US,1946,420.3,2067.7,132.6
US,1947,420.5,1796.7,264.8
US,1948,494.5,1625.8,306.9
US,1949,405.1,1667,351.1
US,1950,418.8,1677.4,357.8
US,1951,588.2,2289.5,342.1
US,1952,645.5,2159.4,444.2
US,1953,641,2031.3,623.6
US,1954,459.3,2115.5,669.7
DM,1935,2.54,70.91,4.5
DM,1936,2,87.94,4.71
DM,1937,2.19,82.2,4.57
DM,1938,1.99,58.72,4.56
DM,1939,2.03,80.54,4.38
DM,1940,1.81,86.47,4.21
DM,1941,2.14,77.68,4.12
DM,1942,1.86,62.16,3.83
DM,1943,0.93,62.24,3.58
DM,1944,1.18,61.82,3.41
DM,1945,1.36,65.85,3.31
DM,1946,2.24,69.54,3.23
DM,1947,3.81,64.97,3.9
DM,1948,5.66,68,5.38
DM,1949,4.21,71.24,7.39
DM,1950,3.42,69.05,8.74
DM,1951,4.67,83.04,9.07
DM,1952,6,74.42,9.93
DM,1953,6.53,63.51,11.68
DM,1954,5.12,58.12,14.33
